epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,25337.6,0.68589,0.36016,1.11216,0.94402,0.9452,0.96965,0.7159,0.86629,0.37006,1.16614,0.000268938,0.000268938,0.000268938
84,25752.1,0.68461,0.3577,1.10929,0.94367,0.94595,0.96847,0.71359,0.86363,0.36814,1.16147,0.000254791,0.000254791,0.000254791
85,26166.4,0.68236,0.35776,1.10735,0.95066,0.94648,0.96968,0.71652,0.86374,0.36638,1.16461,0.000240644,0.000240644,0.000240644
86,26580.7,0.6776,0.35191,1.10324,0.94565,0.94289,0.96748,0.71269,0.86838,0.36953,1.17126,0.000226497,0.000226497,0.000226497
87,27003.2,0.6741,0.35195,1.10275,0.94131,0.9522,0.97008,0.71296,0.86879,0.36836,1.1719,0.000212349,0.000212349,0.000212349
88,27463.3,0.67345,0.35075,1.10692,0.939,0.95005,0.96862,0.71655,0.86382,0.367,1.16676,0.000198202,0.000198202,0.000198202
89,27884.7,0.67146,0.35049,1.10325,0.94062,0.95265,0.96746,0.71552,0.8607,0.36462,1.16204,0.000184055,0.000184055,0.000184055
90,28299.3,0.67958,0.35229,1.10996,0.94091,0.9502,0.96789,0.71519,0.86203,0.36489,1.16259,0.000169908,0.000169908,0.000169908
91,28732.1,0.67065,0.32476,1.09866,0.96011,0.92657,0.9657,0.71597,0.86204,0.36635,1.1614,0.000155761,0.000155761,0.000155761
92,29142.8,0.66727,0.31845,1.09634,0.96358,0.92553,0.96443,0.71596,0.86482,0.36738,1.1631,0.000141614,0.000141614,0.000141614
93,29553.1,0.66365,0.31514,1.09232,0.95173,0.93724,0.9671,0.7141,0.86922,0.36714,1.16694,0.000127467,0.000127467,0.000127467
94,29957.1,0.65825,0.31011,1.08576,0.95338,0.93505,0.96639,0.71471,0.87027,0.36507,1.16873,0.00011332,0.00011332,0.00011332
95,30371.1,0.65215,0.30759,1.0874,0.95578,0.93649,0.96686,0.71794,0.86933,0.36309,1.16819,9.91726e-05,9.91726e-05,9.91726e-05
96,30781.5,0.65601,0.30908,1.0874,0.9462,0.94413,0.96737,0.71489,0.86954,0.36467,1.16794,8.50255e-05,8.50255e-05,8.50255e-05
97,31192,0.64589,0.30376,1.08192,0.95377,0.94169,0.96899,0.71623,0.8682,0.36251,1.16692,7.08784e-05,7.08784e-05,7.08784e-05
98,31602.4,0.64683,0.30394,1.08354,0.95811,0.94006,0.96861,0.71595,0.86718,0.36177,1.1666,5.67313e-05,5.67313e-05,5.67313e-05
99,32016.2,0.6432,0.30315,1.08334,0.95904,0.9371,0.96751,0.71449,0.86676,0.36254,1.16662,4.25842e-05,4.25842e-05,4.25842e-05
100,32426.7,0.64223,0.3031,1.07977,0.95473,0.93959,0.96788,0.71285,0.8669,0.36237,1.16674,2.84371e-05,2.84371e-05,2.84371e-05
